Site,Planting,Latitude,Longitude,Crop,Genetics
casselton_nd,05/21/1989,46.8973,-97.2124,soybean,0
casselton_nd,05/21/1989,46.8973,-97.2124,soybean,0
casselton_nd,05/21/1991,46.8973,-97.2124,soybean,0
casselton_nd,05/21/1991,46.8973,-97.2124,soybean,0
watertown_sd,05/24/1992,44.9096,-97.1539,soybean,0
watertown_sd,05/24/1992,44.9096,-97.1539,soybean,1
casselton_nd,05/20/1992,46.8973,-97.2124,soybean,0
casselton_nd,05/20/1992,46.8973,-97.2124,soybean,0
watertown_sd,05/25/1993,44.9096,-97.1539,soybean,0
watertown_sd,05/25/1993,44.9096,-97.1539,soybean,1
casselton_nd,05/21/1993,46.8973,-97.2124,soybean,0
casselton_nd,05/21/1993,46.8973,-97.2124,soybean,0
watertown_sd,05/25/1994,44.9096,-97.1539,soybean,0
watertown_sd,05/25/1994,44.9096,-97.1539,soybean,1
casselton_nd,05/21/1994,46.8973,-97.2124,soybean,0
casselton_nd,05/21/1994,46.8973,-97.2124,soybean,0
watertown_sd,05/25/1995,44.9096,-97.1539,soybean,0
watertown_sd,05/25/1995,44.9096,-97.1539,soybean,1
casselton_nd,05/21/1995,46.8973,-97.2124,soybean,0
casselton_nd,05/21/1995,46.8973,-97.2124,soybean,0
watertown_sd,05/24/1996,44.9096,-97.1539,soybean,0
watertown_sd,05/24/1996,44.9096,-97.1539,soybean,1
casselton_nd,05/20/1996,46.8973,-97.2124,soybean,0
casselton_nd,05/20/1996,46.8973,-97.2124,soybean,0
watertown_sd,05/25/1997,44.9096,-97.1539,soybean,0
watertown_sd,05/25/1997,44.9096,-97.1539,soybean,1
casselton_nd,05/20/1997,46.8973,-97.2124,soybean,0
casselton_nd,05/20/1997,46.8973,-97.2124,soybean,0
watertown_sd,05/25/1998,44.9096,-97.1539,soybean,0
watertown_sd,05/25/1998,44.9096,-97.1539,soybean,1
casselton_nd,05/20/1998,46.8973,-97.2124,soybean,0
casselton_nd,05/20/1998,46.8973,-97.2124,soybean,0
watertown_sd,05/25/1999,44.9096,-97.1539,soybean,0
watertown_sd,05/25/1999,44.9096,-97.1539,soybean,1
casselton_nd,05/20/1999,46.8973,-97.2124,soybean,0
casselton_nd,05/20/1999,46.8973,-97.2124,soybean,0
watertown_sd,05/24/2000,44.9096,-97.1539,soybean,0
watertown_sd,05/24/2000,44.9096,-97.1539,soybean,1
casselton_nd,05/19/2000,46.8973,-97.2124,soybean,0
casselton_nd,05/19/2000,46.8973,-97.2124,soybean,0
casselton_nd,05/20/2001,46.8973,-97.2124,soybean,0
casselton_nd,05/20/2001,46.8973,-97.2124,soybean,0
watertown_sd,05/25/2001,44.9096,-97.1539,soybean,0
watertown_sd,05/25/2001,44.9096,-97.1539,soybean,1
watertown_sd,05/25/2002,44.9096,-97.1539,soybean,0
watertown_sd,05/25/2002,44.9096,-97.1539,soybean,1
casselton_nd,05/20/2002,46.8973,-97.2124,soybean,0
casselton_nd,05/20/2002,46.8973,-97.2124,soybean,0
northwood_nd,05/17/2002,47.7389,-97.5708,soybean,0
northwood_nd,05/17/2002,47.7389,-97.5708,soybean,0
watertown_sd,05/25/2003,44.9096,-97.1539,soybean,0
watertown_sd,05/25/2003,44.9096,-97.1539,soybean,1
casselton_nd,05/20/2003,46.8973,-97.2124,soybean,0
casselton_nd,05/20/2003,46.8973,-97.2124,soybean,0
casselton_nd,05/19/2004,46.8973,-97.2124,soybean,0
casselton_nd,05/19/2004,46.8973,-97.2124,soybean,0
watertown_sd,05/24/2004,44.9096,-97.1539,soybean,0
watertown_sd,05/24/2004,44.9096,-97.1539,soybean,1
northwood_nd,05/16/2004,47.7389,-97.5708,soybean,0
northwood_nd,05/16/2004,47.7389,-97.5708,soybean,0
casselton_nd,05/20/2005,46.8973,-97.2124,soybean,0
casselton_nd,05/20/2005,46.8973,-97.2124,soybean,0
northwood_nd,05/17/2005,47.7389,-97.5708,soybean,0
northwood_nd,05/17/2005,47.7389,-97.5708,soybean,0
watertown_sd,05/25/2005,44.9096,-97.1539,soybean,0
watertown_sd,05/25/2005,44.9096,-97.1539,soybean,1
volga_sd,05/25/2005,44.3239,-96.9225,soybean,0
volga_sd,05/25/2005,44.3239,-96.9225,soybean,2
volga_sd,05/25/2005,44.3239,-96.9225,soybean,1
casselton_nd,05/20/2006,46.8973,-97.2124,soybean,0
casselton_nd,05/20/2006,46.8973,-97.2124,soybean,0
watertown_sd,05/25/2006,44.9096,-97.1539,soybean,0
watertown_sd,05/25/2006,44.9096,-97.1539,soybean,1
casselton_nd,05/20/2007,46.8973,-97.2124,soybean,0
casselton_nd,05/20/2007,46.8973,-97.2124,soybean,0
watertown_sd,05/25/2007,44.9096,-97.1539,soybean,0
watertown_sd,05/25/2007,44.9096,-97.1539,soybean,1
casselton_nd,05/19/2008,46.8973,-97.2124,soybean,0
casselton_nd,05/19/2008,46.8973,-97.2124,soybean,0
northwood_nd,05/16/2008,47.7389,-97.5708,soybean,0
northwood_nd,05/16/2008,47.7389,-97.5708,soybean,0
watertown_sd,05/23/2008,44.9096,-97.1539,soybean,0
watertown_sd,05/23/2008,44.9096,-97.1539,soybean,1
casselton_nd,05/20/2009,46.8973,-97.2124,soybean,0
casselton_nd,05/20/2009,46.8973,-97.2124,soybean,0
northwood_nd,05/17/2009,47.7389,-97.5708,soybean,0
northwood_nd,05/17/2009,47.7389,-97.5708,soybean,0
watertown_sd,05/24/2010,44.9096,-97.1539,soybean,0
watertown_sd,05/24/2010,44.9096,-97.1539,soybean,1
casselton_nd,05/20/2010,46.8973,-97.2124,soybean,0
casselton_nd,05/20/2010,46.8973,-97.2124,soybean,0
northwood_nd,05/17/2010,47.7389,-97.5708,soybean,0
northwood_nd,05/17/2010,47.7389,-97.5708,soybean,0
volga_sd,05/25/2011,44.3239,-96.9225,soybean,0
volga_sd,05/25/2011,44.3239,-96.9225,soybean,2
volga_sd,05/25/2011,44.3239,-96.9225,soybean,1
watertown_sd,05/24/2011,44.9096,-97.1539,soybean,0
watertown_sd,05/24/2011,44.9096,-97.1539,soybean,1
northwood_nd,05/16/2011,47.7389,-97.5708,soybean,0
northwood_nd,05/16/2011,47.7389,-97.5708,soybean,0
volga_sd,05/24/2012,44.3239,-96.9225,soybean,0
volga_sd,05/24/2012,44.3239,-96.9225,soybean,2
volga_sd,05/24/2012,44.3239,-96.9225,soybean,1
watertown_sd,05/23/2012,44.9096,-97.1539,soybean,0
watertown_sd,05/23/2012,44.9096,-97.1539,soybean,1
casselton_nd,05/18/2012,46.8973,-97.2124,soybean,0
casselton_nd,05/18/2012,46.8973,-97.2124,soybean,0
northwood_nd,05/15/2012,47.7389,-97.5708,soybean,0
northwood_nd,05/15/2012,47.7389,-97.5708,soybean,0
volga_sd,05/25/2013,44.3239,-96.9225,soybean,0
volga_sd,05/25/2013,44.3239,-96.9225,soybean,2
volga_sd,05/25/2013,44.3239,-96.9225,soybean,1
watertown_sd,05/24/2013,44.9096,-97.1539,soybean,0
watertown_sd,05/24/2013,44.9096,-97.1539,soybean,1
casselton_nd,05/19/2013,46.8973,-97.2124,soybean,0
casselton_nd,05/19/2013,46.8973,-97.2124,soybean,0
northwood_nd,05/16/2013,47.7389,-97.5708,soybean,0
northwood_nd,05/16/2013,47.7389,-97.5708,soybean,0
casselton_nd,05/19/2014,46.8973,-97.2124,soybean,0
casselton_nd,05/19/2014,46.8973,-97.2124,soybean,0
northwood_nd,05/16/2014,47.7389,-97.5708,soybean,0
northwood_nd,05/16/2014,47.7389,-97.5708,soybean,0
casselton_nd,05/19/2015,46.8973,-97.2124,soybean,0
casselton_nd,05/19/2015,46.8973,-97.2124,soybean,0
northwood_nd,05/16/2015,47.7389,-97.5708,soybean,0
northwood_nd,05/16/2015,47.7389,-97.5708,soybean,0
casselton_nd,05/05/2016,46.8973,-97.2124,soybean,0
casselton_nd,05/05/2016,46.8973,-97.2124,soybean,0
northwood_nd,05/06/2016,47.7389,-97.5708,soybean,0
northwood_nd,05/06/2016,47.7389,-97.5708,soybean,0
casselton_nd,05/06/2016,46.8973,-97.2124,soybean,0
casselton_nd,05/06/2016,46.8973,-97.2124,soybean,0
casselton_nd,05/05/2017,46.8973,-97.2124,soybean,0
casselton_nd,05/05/2017,46.8973,-97.2124,soybean,0
casselton_nd,05/07/2018,46.8973,-97.2124,soybean,0
casselton_nd,05/07/2018,46.8973,-97.2124,soybean,0
casselton_nd,05/19/2018,46.8973,-97.2124,soybean,0
casselton_nd,05/19/2018,46.8973,-97.2124,soybean,0
casselton_nd,05/17/2019,46.8973,-97.2124,soybean,0
casselton_nd,05/17/2019,46.8973,-97.2124,soybean,0
